

08/27/2015 09:09:02:018 AM EDT     Starting Sage FTP File Cataloger App (v2015.05.21). Java App Runtime ID=20150827.090902002.634662
08/27/2015 09:09:02:034 AM EDT     Verifying application properties in 'config.properties' and any linked files...
08/27/2015 09:09:04:562 AM EDT     Connecting to JDBC data source: class=com.ibm.db2.jcc.DB2Driver, url=jdbc:db2://localhost:50001/sage_sbx, userid=DAS_USER1
08/27/2015 09:09:05:703 AM EDT     Connected to JDBC data source: DB2 v10.1.0.872, release=0201010E, build=s120403, fixpack=0, OS=WIN32_NT 6.1 Service Pack 1
08/27/2015 09:09:11:468 AM EDT     Connected to Server: g01edcpt001.ahe.pok.ibm.com
08/27/2015 09:09:11:468 AM EDT     Caching File Meta Data in root directory: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:30:203 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:30:203 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:30:562 AM EDT     280 Files have been scanned so far. Changing current directory to : /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/TempArchive
08/27/2015 09:09:31:390 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/TempArchive
08/27/2015 09:09:31:390 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/TempArchive
08/27/2015 09:09:31:734 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:31:750 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:32:140 AM EDT     631 Files have been scanned so far. Changing current directory to : /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/700+
08/27/2015 09:09:33:375 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/700+
08/27/2015 09:09:33:375 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/700+
08/27/2015 09:09:33:750 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:34:250 AM EDT     1459 Files have been scanned so far. Changing current directory to : /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive
08/27/2015 09:09:43:218 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive
08/27/2015 09:09:43:234 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive
08/27/2015 09:09:43:234 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive
08/27/2015 09:09:43:546 AM EDT     2766 Files have been scanned so far. Changing current directory to : /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive/qtm
08/27/2015 09:09:44:390 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive/qtm
08/27/2015 09:09:44:390 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive/qtm
08/27/2015 09:09:44:687 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/Archive
08/27/2015 09:09:44:984 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:45:265 AM EDT     4352 Files have been scanned so far. Changing current directory to : /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/CMS_Check
08/27/2015 09:09:46:093 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/CMS_Check
08/27/2015 09:09:46:093 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/CMS_Check
08/27/2015 09:09:46:468 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:46:875 AM EDT     4673 Files have been scanned so far. Changing current directory to : /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/qtm
08/27/2015 09:09:49:593 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/qtm
08/27/2015 09:09:49:593 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/qtm
08/27/2015 09:09:49:921 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:50:296 AM EDT     6792 Files have been scanned so far. Changing current directory to : /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/ExtractFTPTemp
08/27/2015 09:09:51:359 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/ExtractFTPTemp
08/27/2015 09:09:51:359 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports/ExtractFTPTemp
08/27/2015 09:09:51:718 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:52:078 AM EDT     File Meta Data has been cached 6840 File meta data records have been cached
08/27/2015 09:09:52:078 AM EDT     Starting directory name = /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/27/2015 09:09:52:093 AM EDT     Alert File: logs/appalerts.txt was not deleted because it does not exist.
