

08/14/2015 09:01:49:711 AM EDT     Starting Sage FTP File Cataloger App (v2015.05.21). Java App Runtime ID=20150814.090149711.733230
08/14/2015 09:01:49:727 AM EDT     Verifying application properties in 'config.properties' and any linked files...
08/14/2015 09:01:51:211 AM EDT     Connecting to JDBC data source: class=com.ibm.db2.jcc.DB2Driver, url=jdbc:db2://localhost:50001/sage_sbx, userid=DAS_USER1
08/14/2015 09:01:52:446 AM EDT     Connected to JDBC data source: DB2 v10.1.0.872, release=0201010E, build=s120403, fixpack=0, OS=WIN32_NT 6.1 Service Pack 1
08/14/2015 09:01:57:571 AM EDT     Connected to Server: g01edcpt001.ahe.pok.ibm.com
08/14/2015 09:01:57:586 AM EDT     Caching File Meta Data in root directory: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/14/2015 09:02:21:696 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/14/2015 09:02:21:711 AM EDT     directory name: /gsa/a01gsa/.projects/p1/aheweb01/projects/w3test/content/services/tools/sage/reports
08/14/2015 09:02:21:711 AM EDT     File counter: 1
08/14/2015 09:02:21:711 AM EDT     File counter: 2
08/14/2015 09:02:21:727 AM EDT     File counter: 3
08/14/2015 09:02:21:727 AM EDT     File counter: 4
08/14/2015 09:02:21:727 AM EDT     File counter: 5
08/14/2015 09:02:21:727 AM EDT     File counter: 6
08/14/2015 09:02:21:727 AM EDT     File counter: 7
08/14/2015 09:02:21:743 AM EDT     File counter: 8
08/14/2015 09:02:21:743 AM EDT     File counter: 9
08/14/2015 09:02:21:743 AM EDT     File counter: 10
08/14/2015 09:02:21:743 AM EDT     File counter: 11
08/14/2015 09:02:21:743 AM EDT     File counter: 12
08/14/2015 09:02:21:743 AM EDT     File counter: 13
08/14/2015 09:02:21:743 AM EDT     File counter: 14
08/14/2015 09:02:21:743 AM EDT     File counter: 15
08/14/2015 09:02:21:743 AM EDT     File counter: 16
08/14/2015 09:02:21:758 AM EDT     File counter: 17
08/14/2015 09:02:21:758 AM EDT     File counter: 18
08/14/2015 09:02:21:758 AM EDT     File counter: 19
08/14/2015 09:02:21:758 AM EDT     File counter: 20
08/14/2015 09:02:21:758 AM EDT     File counter: 21
08/14/2015 09:02:21:758 AM EDT     File counter: 22
08/14/2015 09:02:21:758 AM EDT     File counter: 23
08/14/2015 09:02:21:758 AM EDT     File counter: 24
08/14/2015 09:02:21:774 AM EDT     File counter: 25
08/14/2015 09:02:21:774 AM EDT     File counter: 26
08/14/2015 09:02:21:774 AM EDT     File counter: 27
08/14/2015 09:02:21:774 AM EDT     File counter: 28
08/14/2015 09:02:21:774 AM EDT     File counter: 29
08/14/2015 09:02:21:774 AM EDT     File counter: 30
08/14/2015 09:02:21:774 AM EDT     File counter: 31
08/14/2015 09:02:21:774 AM EDT     File counter: 32
08/14/2015 09:02:21:774 AM EDT     File counter: 33
08/14/2015 09:02:21:790 AM EDT     File counter: 34
08/14/2015 09:02:21:790 AM EDT     File counter: 35
08/14/2015 09:02:21:790 AM EDT     File counter: 36
08/14/2015 09:02:21:790 AM EDT     File counter: 37
08/14/2015 09:02:21:790 AM EDT     File counter: 38
08/14/2015 09:02:21:790 AM EDT     File counter: 39
08/14/2015 09:02:21:790 AM EDT     File counter: 40
08/14/2015 09:02:21:805 AM EDT     File counter: 41
08/14/2015 09:02:21:805 AM EDT     File counter: 42
08/14/2015 09:02:21:805 AM EDT     File counter: 43
08/14/2015 09:02:21:805 AM EDT     File counter: 44
08/14/2015 09:02:21:805 AM EDT     File counter: 45
08/14/2015 09:02:21:805 AM EDT     File counter: 46
08/14/2015 09:02:21:805 AM EDT     File counter: 47
08/14/2015 09:02:21:805 AM EDT     File counter: 48
08/14/2015 09:02:21:805 AM EDT     File counter: 49
08/14/2015 09:02:21:805 AM EDT     File counter: 50
08/14/2015 09:02:21:821 AM EDT     File counter: 51
